s1,s2,label
cómo establecer nueva dirección envío,cómo establecer contraseña,0
envías pago paypal,compatible paypal,1
cómo reviso puntos recompensa,puntos,0
hola quiero comprar vendedor ajustar precio sistema funciona automáticamente permite vendedor ajuste favor ayuda,vendedor zapatos pedí vendedor responde,0
quiero comprar producto quiero usar cuenta dhl lugar pagar tarifa envío cómo puedo hacer,quiero usar imagen producto,0
protección terminará puedo abrir disputa quién devolverá dinero,cómo puedo abrir disputa si orden completa,1
hola pregunta pedí producto nueva zelanda alie express shipping est entrega 13 20 días vez pedí paquete electrónico nueva zelanda entregando 20 40 días embargo paquete llegó 12 días paquete generalmente rápido n,quiero cambiar dirección correo electrónico anterior pirateada cómo puedo hacer,0
proceso recuperación contraseña,recuerdo contraseña,1
puedo editar dirección facturación países bajos,editar dirección orden,0
cuenta problema,problema cuenta,1
necesito ayuda,necesito ayuda aquí,1
formas pagar,alguna forma pueda hacer pedido pagarlo tarjeta crédito,0
problema orden,problema orden,1
pasado 3 semanas presenté reclamo,pedido sido cerrado cuándo recibiré reembolso,0
cargador inalámbrico recibí defectuoso carga,decepcionado orden,1
hola problema,problema pedido,1
pedidos duplicaron cómo empiezo nuevo,cuántas ordenes actuales,0
recibido envío,recibido,1
escribí arriba,ahí,0
recibí reembolso,recibí libro instrucciones,0
hola ayer puedo pagar tarjeta banco bien,cómo puedo pagar todas órdenes,0
quién vendedor,jefe,0
necesito diez mejores artículos vendidos 2017,cómo pago artículos,0
dónde puedes enviarme dirección,puedes decirme dirección correo electrónico,0
sugirieron esperara tiempo conformación,puede decir si alguna tarifa procesamiento realizar transacción,0
extender tiempo entrega,puedo extender tiempo retroalimentación,0
paquete orden,posible combinar paquete,1
hice par preguntas,hice pedido vendedor solicitó cancelarlo,0
confirme dirección correo electrónico,puedo verificar correo electrónico,0
traje peluca quería hicieran,traje vestido recibí vestido,0
quiero hacer pedido puedo,puedo hacer pedido washington,0
hice conversando miembro equipo dijeron resolvería día así aún resuelto,puedo abrir disputa si pago sido liberado,0
bien,inteligente,0
cómo suscribirse,cómo,0
hola vencimiento tarjeta crédito expirado puedo encontrar ningún lugar puedan sobrescribir nuevos datos tarjeta usted podría ayudar,pude hacer pago tarjeta débito visa podría ayudarme favor,0
favor inicia chat,chat cerrado,0
pregunta nuevo mini usb negro wifi adaptador pocket red enrutador inalámbrico 2nd soft ap portable,pregunta reembolso,0
cómo cambio monedas cupones,monedas,0
disputa abierta vendedor niega devolver,sucede si vendedor anuncia protección comprador luego niega usarla,0
paga paypal,pagar,0
teléfono,número teléfono aceptado,0
recibí orden única hice abril,pregunto cuándo recibiré artículo hecho pago,0
vendedor quiere saber disputa,quiero saber cantidad dinero devuelto,0
entonces podrías ayudarme,podría ayudar,1
vendedor responde,dónde respuesta proveedor,0
dónde puedo encontrar comentarios vendedor,dónde puedo encontrar factura comercial,0
hola fecha caducidad vencida cómo cambio fecha envío nueva tarjeta nueva fecha,cupón expirado puedo hacer,0
sigue mostrando procesamiento reembolso,hice disputa hace mes todavía proceso puedo hacer,0
necesito abrir disputa,puedo abrir disputa,0
bien mover bienes dentro ue pagar impuestos si vendedor pagado impuestos,puedo obtener bienes pagar impuestos,0
acabo hacer pregunta ayudando favor ayúdame puedo iniciar sesión sitio web hacer compra,pude hacer pago tarjeta débito visa podría ayudarme favor,0
víctima estafa,tan estúpido,0
extender tiempo entrega,extender tiempo protección,1
cómo puedo cambiar contraseña si acceso correo electrónico,quiero cambiar dirección correo electrónico anterior pirateada cómo puedo hacer,0
pregunta,preguntas,1
hola recibido producto error todavía recibido,puedo enviarte correo electrónico,0
habla alguien,necesito hablar alguien acepte contraseña,1
descripción paquete debe ser mencionado,paquete,0
reviso banco dinero aún reembolso,dónde debería consultar reembolso,0
va entregar unidos,si uso talla usa grande mismo china,0
acabo hacer pregunta ayudando favor ayúdame puedo iniciar sesión sitio web hacer compra,pregunta puedes ayudarme,0
último comandante compro,puedo cambiar apellido cuenta,0
parece vieja apelación resurgido cuenta toda documentación sido enviada apelación satisfecha semanas atrás puedes ayudarme resolver problema,puedo acceder cuenta puedes ayudar,0
sigo recibiendo pedidos cancelados razones seguridad,sigo recibiendo error intentar pagar cosas,0
veo ayudas puedo esperar,hablo ingles bien,0
cómo cambiar datos contacto,cómo reviso detalles disputa,0
hola contactar ahora icono chat ahora lado izquierdo página ahora,ir ahora,0
cómo editar perfil,cómo puedo eliminar perfil,0
recibo pedido,acabo recibir pedido satisfecho,0
ido mal envío paquete,paquete envía dirección incorrecta,1
puede enviar número teléfono recibir atención cliente unidos,puede enviar carta invitación,0
imposible crear cuenta,puedo crear cuenta,1
último comandante compro,gustaría eliminar comentarios último pedido,0
quién,cómo,0
esperando reembolso 7 mayo,esperando reembolso producto,1
problema pagué tarjeta crédito,problemas pagar línea tarjeta crédito,1
alguien ahí hablando computadora,quiero saber si alguien puede hablar,0
hablo inglés,hablo ingles,1
puedo cambiar cantidad variantes producto poder importarlo shopify,puedo pagar tarjeta visa si suficiente,0
significa falla verificación seguridad,significa colección,0
cómo puedo agregar producto venta,cómo puedo personalizar producto,0
vendedor dice devuelto dinero obtuve dinero,producto sido devuelto vendedor cuándo puedo obtener dinero,0
podrías rastrear orden,traté seguir orden pude pasó,0
bien solicitamos productos período mencionado,impuestos pagamos demasiado altos importar productos sitio,0
hago pago aún envío,hice pago todavía recibí confirmación correo electrónico,0
dónde puedo encontrar comentarios,dónde puedo encontrar factura comercial,0
cobró tarjeta crédito hace mes entonces dónde pedido,tarjeta utilicé cargada nuevo después pagué pedido,0
quiero reembolso,quiero reembolso producto,1
cómo subir fotos,puedo subir documentos,0
dónde puedo encontrar comentarios,dónde puedo encontrar casos disputas,0
agregar lista deseos funciona,añadir lista deseos,0
cómo puedo confirmar entrega vez recibido pedido,quiero confirmar recibido pedido,1
cómo cambiar dirección envío,cómo agrego dirección envío,0
creo vendedor emitiendo dinero,creo culpa,0
necesito ayuda pedido,necesito cambiar monto reembolso pedido,0
problema hace día,buen día,0
problema orden,problema orden,1
intento hacer seguimiento pedido veo mensaje dice información seguimiento disponible temporalmente,cuenta disponible temporalmente,0
cómo cambio contraseña,cómo cambio evaluación,0
pedí teléfono roto,quiero reemplazar artículo roto,1
así puedes intentar colocar número ver color obtienes,número teléfono poder hacer pedido,0
espera déjame mostrarte instantánea,muestrame cara,0
satisfecho resultado disputa escalada,puedo devolver producto si satisfecho,0
cómo hacer pedido pagarlo,cómo obtener bienes pagar impuestos,0
puedes hablarle ser humano,puede alguno ustedes hablar árabe,0
cómo encontrar producto,cómo encontrar producto quiero,1
cuenta rota,cuenta desapareció,1
cómo bloquear notificación,quiero ninguna notificación correo electrónico informar,0
recibí reembolso,cupón funcionó,0
ahora recibido pago devuelto,recibido pago dentro 10 días,1
mostró pudo registrar página,pago fallado,0
quiero saber ancho calzado sigue,quiero saber cupón,0
cómo cambiar detalles,cómo puedo encontrar detalles pedido,0
haga compra solicite documentos apelación,cómo puedo hacer compra washington,0
dirección correo errónea,proveedor enviado pedido dirección incorrecta,0
puedo abrir páginas tales bienes,puedo pagar paypal,0
cómo confirmar orden,cómo confirmo pedido sido recibido,1
puedes ayudar m,puede ayudar encontrar producto sitio,0
cómo cambiar dirección envío,favor dígame cómo cambiar dirección entrega,0
puedo vender,puedo vender cosas,1
hice pedido cancelé dedujeron,acabo hacer pedido,0
puedes enviar 1 días envío,puedes enviar producto país,0
cómo borro comentarios,cómo borro cupón,0
si producto pedido coloca europa quiero llegar finlandia debo pagar impuestos,cuánto debo pagar impuestos aduana impuestos,1
pondré contacto banco sé código seguridad 3d,código seguridad 3d,1
recibí productos envío rápido después ver cuenta bancaria pagué pedido dos veces,puedo comprar productos cuenta,0
olvidado contraseña,olvidé cuenta pedidos,0
cómo obtener factura,cómo obtengo factura,1
sé inglés traductor va,hablo inglés,1
quiero persona real amp robot,hablo persona real,1
dirección correo electrónico ventas,dirección correo electrónico existe,0
hola necesito ayuda intento agregar nueva tarjeta crédito pago después insertar datos tarjeta crédito confirmar recibo mensaje oops podido guardar tarjeta debido motivo sistema inténtelo nuevo tarde,guardé tarjeta crédito necesito reemplazarla nueva,0
cómo eliminar información tarjeta crédito,cómo recibo reembolso tarjeta crédito,0
favor puedo hablar alguien robot problema sé dos días,sé robot,0
cómo responder disputa escalada,cómo cancelo disputa escalada,0
parece puedo editar nombre asociado cuenta seguro cómo convirtió nombre diferente puedo encontrar cómo cambiarlo,cómo puedo cambiar nombre contacto,0
pedí bolsas té noviembre llegado,quiero reembolso paquete llegado,0
necesito ayuda pedido,necesito ayuda orden,1
quiero disputa amorosa abierta puedo,quiero abrir disputa después venta,0
recibido ningún correo últimas 24 horas,puedo tener dirección correo,0
haga compra solicite documentos apelación,algún número pueda llamar realizar compra,0
presioné haga clic botón confirmar recibo pedido envíe orden,presioné confirmar pedido falso,1
añade amigo,cómo agregar amigos tm,0
necesito chat línea,cómo configuro línea,0
envío rápido mensajería,usted responde rápido,0
alguna forma saber cuándo entregará realmente pedido,quiero pedido entregado china posible,0
pueden ustedes ayudarme,di cuenta puedes ayudarme,0
pedir mensaje vendedor mensaje,vendedor envía artículos responde mensaje,0
preguntas detalles producto,hice preguntas producto recibí respuesta,0
necesita ayuda urgente,necesita ayuda,1
devolví pedido recibido,vendedor canceló pedido aún recibido pago,0
cambiando tamaño artículo,puedo cambiar tamaño artículo ordenado,1
cómo cancelar cuenta,cómo cancelar disputa abierta,0
necesito ayuda orden intento ubicar cada vez hago clic comprar simplemente vuelve carrito compras comprarlo,tratando hacer pedido suerte,1
hablo inglés,habla usted inglés,1
hola contacto representante servicio cliente 10 mayo todavía recibido respuesta,cargué identificación recibido respuesta,0
escalar juicio ae,puedo escalar disputa,0
quiero ser vendedor,quiero llamar vendedor,0
puedo ver opción unión occidental página pago mac,opción pagar western union,1
recibí error pedido obteniendo confirmación pago exitoso,necesito pagar pedido sigo recibiendo mensaje error,1
ok ok ok,vale muchas gracias,0
puedo hacer pagar vendedor bienes recibidos,recibido productos puedo hacer,0
puedo rastrear pedidos,puedo rastrear orden,1
cómo restablecer contraseña,cómo elegir pedido,0
chat linea,chatear pueblo,1
cómo agregar evidencia disputa,cómo agregar videos evidencia,1
puede enviar correo,puedes enviar paquetes país,0
hola vencimiento tarjeta crédito expirado puedo encontrar ningún lugar puedan sobrescribir nuevos datos tarjeta usted podría ayudar,puedo pagar cuotas tarjeta crédito,0
apagaré computadora volveré intentarlo mañana creo problema internet problema absoluto,confirmar si problema,0
cómo eliminar mensajes,cómo borro mensajes deseados,1
abrí disputa rechazan,necesito disputa abierta opción,0
productos pedidos puedo ver detalles rastreo,puedo comprar productos cuenta,0
quiero pagar skrill,puedo pagar artículo usando skrill,1
produje video segunda linterna defectuosa,productos defectuosos,1
puedes enviar bienes irán,puedes enviar foto,0
hola tratando pagar cosas semanas aceptará tarjeta,cómo hago seguimiento cosas,0
